regno,name
200000,HOMEBOUNDCRAFTSMENTRUST
200001,PAINTERS'COMPANYCHARITY
200002,THEROYALOPERAHOUSEBENEVOLENTFUND
200003,HERGAWORLDDISTRESSFUND
200004,THEWILLIAMGOLDSTEINLAYSTAFFBENEVOLENTFUND(ROYALHOSPITALOFSTBARTHOLOMEW)
200005,DEVONANDCORNWALLROMANCATHOLICDEVELOPMENTSOCIETY
200006,THEHORLEYSICKCHILDREN'SFUND
200007,THEHOLDENHURSTOLDPEOPLE'SHOMETRUST
200008,LORNAGASCOIGNETRUSTFUND
200009,THERALPHLEVYCHARITABLECOMPANYLIMITED
200010,JESSIEWALSHTRUSTFUND
200011,POMFRETLODGENO360MASONICCHARITIESASSOCIATION
200012,CHURCHANDPOOR'SCHARITY
200013,THEELEANORMELLYFUND
200014,THEMILLICENTASHBYFUNDFORELDERLYWIDOWSANDSPINSTERS
200015,SEMBALTRUST
200016,STMARY'SBERROWCHURCHYARDTRUSTFUND
200017,THESHOWERINGFUND
200018,SEVENOAKSCATHOLICASSOCIATIONCHURCHEXTENSIONFUND
200019,FOURACRESTRUST
200020,THE1961RANKGROUPCHARITY
200021,THEQUEEN'SOWNHUSSARSOFFICERSTRUST
200022,BRADLEYLITHOLIMITEDTRUST
200023,MOSSWOODMISSIONHALL(TRUST1188)
200024,THED'OYLYCARTEOPERATRUSTLIMITED
200025,BRIDGETD'OYLYCARTELIMITED
200027,RURALMINISTRIES
200028,TOWNLANDSCHARITY
200032,JOSEPHFATTORINICHARITABLETRUST
200033,PARISHCHURCHROOM
200034,CLOPHILLUNITEDCHARITIES
200036,THEFREDANDDELLAWORMSCHARITABLETRUST
200037,SHEREECCLESIASTICALCHARITIES
200039,COMMONWEALTHARTSFESTIVALSOCIETYLTD
200040,TURVEYNON-ECCLESIASTICALCHARITIES
200041,"ISOBELFOWLERFORSAINTPETER'SCHURCH,TIVERTON"
200042,THENEWDIGATEMEMORIALRECREATIONTRUST
200043,HENRYSMITHANDMICHAELEARLECHARITIES
200044,RECREATIONGROUNDCHARLWOOD
200047,NORTHILLPAROCHIALCHARITIES
200048,THEFEDERATIONOFBRITISHARTISTS
200049,THEPETERSAMUELROYALFREEFUND
200050,HANDICAPPEDCHILDREN'SAIDCOMMITTEE
200051,ESMEEFAIRBAIRNFOUNDATION
200053,FRIENDSOFTHEHURTWOOD
200054,BLETSOETOWNCLOSECHARITY
200055,GODSTONERELIEFINNEEDCHARITY
200056,OXTEDUNITEDCHARITIES
200057,BENJAMINROSETRUST
200058,THOMSONKINGSTONTRUST
200059,HOUGHTONCONQUESTVILLAGEHALL
200060,"STJAMESCHURCH,BARTON-UNDER-NEEDWOOD,TRUSTNO1191"
200061,STRAPHAEL'SFELLOWSHIP
200062,HENRYSMITH(WORTHESTATE)
200063,THECHICHESTERFESTIVALTHEATRETRUSTLTD
200064,THEKEMPSTONCHARITIES
200065,CORNWALLWORKSTRUST
200066,ROYALBRITISHLEGION-DUNSFOLDANDHASCOMBEBRANCH
200068,SURREYASSOCIATIONFORVISUALIMPAIRMENT(SAVI)
200069,RICHMONDPARISHLANDSCHARITY
200073,TURVEYWORKINGMENSROOMFUND
200074,POORLANDSORPAGESCHARITY
200075,LUKEADDINGTONCHARITY
200076,RENHOLDCHARITYCOTTAGES
200077,DOGGETTSTRUST
200078,THEFELPHAMTRUST
200079,THEMIDDLETONRELIEFINNEEDCHARITY
200081,MRSOLAVEDUNCUMB(EXCLUSIVEOFEDUCATIONALFOUNDATION)
200082,ALBURYUNITEDCHARITIES
200083,THEWINNMEMORIALPARISHHALL
200084,SURREYRECORDSOCIETY
200085,CHARITYOFJAMESWILSON
200086,WONERSHUNITEDCHARITIES
200088,BURNTNORTONTRUST
200089,HAMBLEDONHOMESCOMFORTSFUND
200090,HENRYSMITH'SCHARITY
200091,WELLCLOSETRUST
200093,THEHAYWARDSLANDCHARITY
200094,THEDOLECHARITY
200095,THEMARGERYMAPLETHORPETRUST
200096,BIDDENHAMUNITEDCHARITIES
200097,BARTONANDROYLEHOMES
200098,UNITEDCHARITIES
200099,BEDFORDSHIRERURALCOMMUNITIESCHARITY
200100,AGECONCERNBEDFORDSHIRE
200103,BARNESWORKHOUSEFUND
200104,THEELEANORBAILEYCHARITYFORWORKINGMEN
200107,DEMPSTERTRUST
200108,WOLFSONRESEARCHPROFESSORSHIPOFTHEROYALSOCIETY
200109,LANDADJACENTTOLIGHTWATERWARMEMORIAL
200110,WILLIAMBARRINGERCHARITY
200111,BRITISHLEGIONADDISCOMBEANDSHIRLEYBRANCH
200113,MAULDENCHARITIESFORTHEPOOR
200114,WINGFIELDRECREATIONGROUND
200116,JAMESJFATTORINICHARITABLETRUST
200117,MRSEAHARRODCHARITABLETRUST
200119,ELSTOWPOOR'SESTATE
200121,GODSONLODGEBFUND
200122,ROYALBRITISHLEGIONBEDFORDANDDISTRICTBRANCH
200123,HENRYSMITH(EASTBROOKESTATE)
